id,YEAR,MONTH,TEMP,PRCP
108,2005,9,56.63,1.18
108,2005,10,46.86,1.29
108,2005,11,33.03,2.01
108,2005,12,22.84,2.74
108,2006,1,30.03,2.62
108,2006,2,25.95,1.61
108,2006,3,34.84,4.15
108,2006,4,45.51,2.56
108,2006,5,55.08,1.46
108,2006,6,64.26,1.52
108,2006,7,73.68,1.57
108,2006,8,66.97,0.43
108,2006,9,57.0,0.8
108,2006,10,44.62,1.21
108,2006,11,35.84,2.13
108,2006,12,25.8,1.83
108,2007,1,20.49,1.11
108,2007,2,32.18,2.61
108,2007,3,40.73,1.39
108,2007,4,45.69,2.15
108,2007,5,55.57,0.98
108,2007,6,63.51,0.48
108,2007,7,75.08,1.13
108,2007,8,68.65,1.52
108,2007,9,57.18,2.71
108,2007,10,44.69,3.84
108,2007,11,34.51,2.98
108,2007,12,25.73,6.39
108,2008,1,20.87,5.5
108,2008,2,28.17,4.52
108,2008,3,32.31,4.71
108,2008,4,38.8,3.84
108,2008,5,52.08,3.33
108,2008,6,60.17,3.14
108,2008,7,70.29,1.05
108,2008,8,67.97,2.37
108,2008,9,57.13,1.23
108,2008,10,45.31,2.87
108,2008,11,37.84,3.93
108,2008,12,24.06,5.31
108,2009,1,24.95,3.04
108,2009,2,27.72,3.75
108,2009,3,32.95,5.67
108,2009,4,42.9,4.31
108,2009,5,54.06,3.92
108,2009,6,59.05,5.05
108,2009,7,69.05,3.16
108,2009,8,66.61,2.3
108,2009,9,62.11,0.92
108,2009,10,41.56,3.18
108,2009,11,34.01,4.31
108,2009,12,20.4,4.35
108,2010,1,28.82,5.6
108,2010,2,29.86,5.37
108,2010,3,36.88,4.68
108,2010,4,42.8,4.79
108,2010,5,47.52,4.86
108,2010,6,59.42,6.64
108,2010,7,68.32,2.61
108,2010,8,66.34,2.19
108,2010,9,58.64,2.55
108,2010,10,48.96,4.5
108,2010,11,32.59,7.6
108,2010,12,28.06,8.06
108,2011,1,23.93,6.54
108,2011,2,25.49,9.23
108,2011,3,36.03,11.85
108,2011,4,39.35,9.35
108,2011,5,48.66,6.26
108,2011,6,57.54,6.66
108,2011,7,67.94,3.4
108,2011,8,69.49,1.97
108,2011,9,61.59,3.8
108,2011,10,47.1,6.78
108,2011,11,32.29,7.1
108,2011,12,24.66,5.65
108,2012,1,28.32,7.33
108,2012,2,30.08,8.84
108,2012,3,38.83,8.98
108,2012,4,47.44,6.37
108,2012,5,52.65,4.33
108,2012,6,60.86,6.63
108,2012,7,72.17,4.02
108,2012,8,70.62,2.77
108,2012,9,60.57,2.86
108,2012,10,45.85,5.46
108,2012,11,38.06,7.15
108,2012,12,29.4,10.05
108,2013,1,19.28,7.07
108,2013,2,30.16,5.63
108,2013,3,37.92,7.23
